疾病,症狀,治療建議
感冒,發燒、喉嚨痛、流鼻水、咳嗽,多休息、多喝水、解熱鎮痛藥(如撲熱息痛)、止咳藥、保持空氣濕潤
耳鳴,耳內嗡嗡聲、聽力下降、頭暈,避免噪音、減少咖啡因攝取、必要時耳科醫師評估與用藥
鼻竇炎,鼻塞、黃綠色鼻涕、面部疼痛、頭痛,抗生素(細菌感染時)、鼻腔沖洗、減充血劑、止痛藥
過敏性鼻炎,打噴嚏、流清水鼻涕、鼻塞、眼睛癢,抗組織胺藥、避免過敏原、鼻用類固醇噴劑、保持室內清潔
咽喉炎,喉嚨痛、吞嚥困難、咳嗽、發燒,含片止痛、漱口鹽水、避免刺激性食物、必要時抗生素
中耳炎,耳痛、發燒、聽力下降、耳朵流膿,抗生素、止痛藥、必要時引流手術
扁桃體炎,喉嚨劇痛、吞嚥困難、發燒、扁桃體腫大,抗生素、止痛藥、休息、多喝水
鼻出血,鼻腔出血、鼻塞感,壓迫止血、冷敷、避免挖鼻子、嚴重者醫院處理
聲帶炎,聲音沙啞、喉嚨痛、咳嗽,聲音休息、避免刺激性物質、抗炎藥物
喉頭水腫,呼吸困難、聲音改變、喉嚨腫脹感,緊急就醫、使用類固醇及氧氣治療
外耳道炎,耳痛、耳朵癢、耳道分泌物,耳滴藥水、保持耳道乾燥、避免掏耳朵
鼻息肉,鼻塞、流鼻水、嗅覺減退,鼻用類固醇噴劑、手術切除
鼻中隔偏曲,鼻塞、單側鼻塞、呼吸不順,藥物控制鼻塞（減充血劑）、嚴重者考慮手術矯正
聽神經瘤,聽力下降、耳鳴、頭暈、平衡障礙,定期追蹤、手術切除或放射治療
咽喉癌,持續喉嚨痛、吞嚥困難、聲音改變、頸部腫塊,外科手術、放射治療、化療
鼻咽炎,鼻塞、流鼻涕、頭痛、耳悶、喉嚨不適,抗生素治療（若細菌感染）、支持療法、多休息
慢性咽喉炎,喉嚨不適、乾燥感、反覆咳嗽、聲音沙啞,避免刺激物（煙、酒）、多喝水、聲音休息、抗炎藥物
