藥物名稱,適用年齡,劑量說明,適用症狀,常見副作用,運算公式
普拿疼,所有年齡,體重 * 15mg 每 6 小時,發燒、輕度疼痛,肝毒性（過量）,體重 * 15
布洛芬,6 個月以上,體重 * 10mg 每 6-8 小時,發燒、關節痛、肌肉痛,胃痛、腎功能影響,體重 * 10
阿莫西林,3 個月以上,體重 * 25~45mg 每 1 天 分 2-3 次,細菌感染,腹瀉、過敏反應,體重 * 35
克拉維酸合併阿莫西林,3 個月以上,體重 * 20~40mg 每 1 天 分 2-3 次,呼吸道感染,腹瀉、皮疹,體重 * 30
克流感,1 歲以上,體重 * 3mg 每日兩次,流感,噁心、嘔吐、頭痛,體重 * 3
撲熱息痛,所有年齡,體重 * 10~15mg 每 4-6 小時,退燒、止痛,肝損傷（過量）,體重 * 12.5
阿司匹林,12 歲以上,300-900mg 每 4-6 小時,發燒、止痛、抗凝,胃出血、雷氏症候群（兒童禁用）,600
洛拉他丁,2 歲以上,5~10mg 每日一次,過敏、流鼻水,嗜睡、口乾,10
西替利嗪,6 個月以上,2.5~10mg 每日一次,過敏、皮膚搔癢,嗜睡、頭暈,5
阿莫西林+克拉維酸酸,1 歲以上,體重 * 25~45mg 每 1 天 分 2 次,中耳炎、肺炎,腸胃不適、皮疹,體重 * 35
甲硝唑,1 歲以上,體重 * 7.5mg 每 8 小時,腸道感染、陰道炎,金屬味、噁心、神經毒性,體重 * 7.5
洛伐他汀,10 歲以上,10~80mg 每日,高血脂,肌肉痠痛、肝酵素升高,20
胰島素,不限,依照血糖及體重計算,糖尿病,低血糖、注射部位腫脹,體重 * 0.5
阿卡波糖,成人,25~100mg 每日三次,第 2 型糖尿病,腹脹、腹瀉,50
二甲雙胍,10 歲以上,500~2000mg 每日分次服用,第 2 型糖尿病,胃腸不適、乳酸中毒（少見）,1000
